schema,table name,new schema,new table name
ros_common,gn_observer_data_properties,ros_gn,observer_data_properties
ros_common,gn_observer_data_transhipment_details,ros_gn,observer_data_transhipment_details
ros_common,ll_observer_data_properties,ros_ll,observer_data_properties
ros_common,ll_observer_data_transhipment_details,ros_ll,observer_data_transhipment_details
ros_common,pl_observer_data_daily_activities,ros_pl,observer_data_daily_activities
ros_common,pl_observer_data_properties,ros_pl,observer_data_properties
ros_common,pl_observer_data_transhipment_details,ros_pl,observer_data_transhipment_details
ros_common,ps_observer_data_daily_activities,ros_ps,observer_data_daily_activities
ros_common,ps_observer_data_properties,ros_ps,observer_data_properties
ros_common,ps_observer_data_transhipment_details,ros_ps,observer_data_transhipment_details